tweet_id,tweet_text,user,timestamp,fashion_description,celebrity,designer_brand,color
290620656951914497,Who's that teenage boy standing behind Jessica alba? He's wearing a strapless gown...wait. Oh hi Anne Hathaway. #GoldenGlobes,mylifeslap,2013-01-13 18:45:38,A Strapless Gown...wait. Oh Hi Anne Hathaway. #goldenglobes,,,Gold
290620659837587456,Blinded by Kerry Washington's Miu Miu dress and her gorgeous bling. We are in LOVE.  #GoldenGlobes #bestdressed,snobswap,2013-01-13 18:45:39,Bling. We Are In Love. #goldenglobes #bestdressed,,,Gold
290620658298265600,RT @instyle_UK: Naomi Watts slinky backless gown is a Zac Posen creation. Is it your favourite of the night so far? #goldenglobes #eredcarpet,YanairaHazoury,2013-01-13 18:45:39,Rt @instyle_uk: Naomi Watts Slinky Backless,,,
